name;delta_bp;delta_w;delta_p;delta_bp_calc;dev
n-Butane;0.0;0.0;0.0;0.0;0.0
2-Methylpropane;11.2;1.0;1.0;11.6;-0.4
n-Pentane;0.0;0.0;0.0;0.0;0.0
2-Methylbutane;8.2;2.0;0.0;7.9;0.3
2,2-Dimethylpropane;26.6;4.0;2.0;26.7;-0.1
n-Hexane;0.0;0.0;0.0;0.0;0.0
2-Methylpentane;8.5;3.0;0.0;8.2;0.3
3-Methylpentane;5.4;4.0;-1.0;5.4;0.0
2,2-Dimethylbutane;19.0;7.0;0.0;19.0;0.0
2,3-Dimethylbutane;10.8;6.0;-1.0;10.8;0.0
n-Heptane;0.0;0.0;0.0;0.0;0.0
2-Methylhexane;8.4;4.0;0.0;8.0;0.4
3-Methylhexane;6.5;6.0;-1.0;6.5;0.0
3-Ethylpentane;5.0;8.0;-2.0;5.0;0.0
2,2-Dimethylpentane;19.2;10.0;0.0;20.0;-0.8
2,3-Dimethylpentane;8.7;10.0;-2.0;9.0;-0.3
2,4-Dimethylpentane;17.9;8.0;0.0;16.0;1.9
3,3-Dimethylpentane;12.4;12.0;-2.0;13.0;-0.6
2,2,3-Trimethylbutane;17.5;14.0;-2.0;17.0;0.0
n-Octane;0.0;0.0;0.0;0.0;0.0
2-Methylheptane;8.0;5.0;0.0;7.7;0.3
3-Methylheptane;6.7;8.0;-1.0;6.7;0.0
4-Methylheptane;8.0;9.0;-1.0;8.2;-0.2
3-Ethylhexane;7.1;12.0;-2.0;7.3;-0.2
2,2-Dimethylhexane;18.8;13.0;0.0;19.9;-1.1
2,3-Dimethylhexane;10.1;14.0;-2.0;10.4;-0.3
2,4-Dimethylhexane;16.2;13.0;-1.0;14.4;1.8
2,5-Dimethylhexane;16.6;10.0;0.0;15.3;1.3
3,3-Dimethylhexane;13.7;17.0;-2.0;15.0;-1.3
3,4-Dimethylhexane;8.0;16.0;-3.0;8.0;0.0
2-Methyl-3-ethylpentane;10.0;17.0;-3.0;9.5;0.5
3-Methyl-3-ethylpentane;7.4;20.0;-4.0;8.6;-1.2
2,2,3-Trimethylpentane;15.8;21.0;-3.0;15.7;0.1
2,2,4-Trimethylpentaue;26.4;18.0;0.0;27.5;-1.1
2,3,3-Trimethylpentane;10.9;22.0;-4.0;11.6;-0.7
2,3,4-Triraethylpentane;12.2;19.0;-3.0;12.5;-3.0
2,2,3,3-Tetramethylbutane;19.4;26.0;-4.0;17.8;1.6
