name;bp;delta_w;delta_p;bp_calc;dev
n-Nonane;150.8;0.0;0.0;150.8;0.0
2-Methyloctane;143.3;6.0;0.0;143.5;0.2
3-Methyloctane;144.2;10.0;-1.0;144.2;0.0
4-MethyIoctane;142.5;12.0;-1.0;141.8;-0.7
3-Ethylheptane;143.0;16.0;-2.0;142.5;-0.5
4-EthyIheptane;141.2;18.0;-2.0;140.0;-1.0
2,2-Dimethylheptane;130.5;16.0;0.0;131.4;0.9
2,3-Dimethylheptane;140.5;18.0;-2.0;140.0;-0.5
2,4-Dimethylheptane;133.0;18.0;-1.0;134.5;1.5
2,5-Dimethylheptane;136.0;16.0;-1.0;136.0;0.9
2,6-Dimethylheptane;135.2;12.0;0.0;136.0;0.3
3,3-Dimethylheptane;137.3;22.0;-2.0;135.0;0.2
3,4-Dimethylheptane;140.5;22.0;-3.0;140.0;0.7
3,5-Dimethylheptane;;20.0;-2.0;137.6;
4,4-Dimethylheptane;;24.0;-2.0;132.8;
2-Methyl-3-ethylhexane;139.0;24.0;-3.0;138.3;-0.7
2-Methyl-4-ethylhexane;;22.0;-2.0;135.2;
3-Methyl-3-ethylhexane;;28.0;-4.0;139.0;
3-Methyl-4-ethylhexane;;26.0;-4.0;141.4;
2,2,3-Trimethylhexane;133.4;28.0;-3.0;133.4;0.0
2,2,4-Trimethylhexane;126.5;26.0;-1.0;124.8;-1.7
2,2,5-Trimethylhexane;124.1;22.0;0.0;124.2;0.1
2,3,3-Trimethylhexane;138.0;30.0;-4.0;136.5;-1.5
2,3,4-Trimethylhexane;;28.0;-4.0;139.0;
2,3,5-Trimethylhexane;131.4;24.0;-2.0;132.8;1.4
2,4,4-Trimethylhexane;131.0;28.0;-2.0;127.9;-3.1
3,3,4-Trimethylhexane;139.0;32.0;-5.0;139.8;0.6
3,3-Diethylpentane;146.5;32.0;-6.0;145.1;-1.4
2,2-Dimethyl-3-ethylpentane;133.8;32.0;-4.0;134.1;0.3
2,3-DimethyI-3-ethylpentane;142.0;34.0;-6.0;142.7;0.7
2,4-Dimethyl-3-ethylpentane;136.7;30.0;-4.0;136.5;-0.2
2,2,3,3-Tetramethylpentane;140.2;38.0;-6.0;137.8;-2.4
2,2,3,4-Tetramethylpentane;133.0;34.0;-4.0;131.7;-1.3
2,2,4,4-Tetramethylpentane;122.3;32.0;0.0;112.0;1.0
2,3,3,4-Tetramethylpentane;141.5;36.0;-6.0;140.2;-1.3
n-Decane;174.0;0.0;0.0;174.0;0.0
2-Methytnonane;166.8;7.0;0.0;167.1;0.3
3-Methylnonane;167.8;12.0;-1.0;167.7;-0.1
4-Methylnonane;165.7;15.0;-1.0;164.8;-0.9
5-Methylnonane;165.1;16.0;-1.0;163.8;-1.3
2,4-Dimethyloctane;153.2;23.0;-1.0;157.0;3.8
2,5-Dimethyloctane;159.0;22.0;-1.0;157.9;-1.1
2,6-Dimethyloctane;160.0;19.0;-1.0;160.9;0.9
2,7-Dimethyloctane;160.2;14.0;0.0;160.3;0.1
3,3-Dimethyloctane;161.2;27.0;-2.0;158.5;-2.7
3,6-Dimethyloctane;160.8;24.0;-2.0;161.5;0.7
4,5-Dimethyloctane;101.0;30.0;-3.0;161.1;0.1
4-n-Propylheptane;161.7;27.0;-2.0;158.5;-3.2
4-Isopropylheptane;158.6;34.0;-3.0;157.2;-1.4
2-Methyl-5-ethylheptane;158.4;27.0;-2.0;158.5;0.0
3-Methyl-3-ethylheptane;156.3;36.0;-4.0;160.7;4.4
2,2,4-Trimethylheptane;147.0;34.0;-1.0;146.2;-0.8
2,2,6-Trimethylheptane;148.9;26.0;0.0;148.5;-0.4
2,3,3-Trimethylheptane;160.0;38.0;-4.0;158.8;-1.2
2,3,6-Trimethylheptane;155.3;29.0;-2.0;156.6;1.3
2,4,4-Trimethylheptane;151.0;38.0;-2.0;147.8;-3.2
2,4,6-Trimethylheptane;147.6;30.0;-1.0;150.1;2.5
2,5,5-Trimethylheptane;152.8;34.0;-2.0;151.7;-1.1
3,4-DiethyIhexane;160.7;40.0;-5.0;162.3;1.6
2,2-Dimethyl-4-ethylhexane;148.0;39.0;-2.0;146.8;-1.2
2,2,3,4-Tetramethylhexane;156.5;47.0;-5.0;155.4;-1.1
2,2,4,5-Tetramethylhexane;145.8;41.0;-2.0;144.8;-1.0
2,2,5,5-TetramethyIhexane;136.8;38.0;0.0;136.8;0.0
