name;delta_w;delta_p;bp_calc
3-Ethyloctane;20.0;-2.0;165.4
4-Ethyioctane;24.0;-2.0;161.5
2,2-Dimethyloctane;19.0;0.0;155.4
2,3-Dimethyloctane;22.0;-2.0;163.4
3,4-Dimethyloctane;28.0;-3.0;163.1
3,5-Dimethyloctane;27.0;-2.0;158.5
4,4-Dimethyloctane;31.0;-2.0;154.6
2-Methyl-3-ethylheptane;31.0;-3.0;160.1
2-Methyl-4-ethylheptane;31.0;-2.0;154.6
3-Methyl-4-ethylheptane;36.0;-4.0;160.7
3-Methyl-5-ethylheptane;32.0;-3.0;159.1
4-Methyl-3-ethylheptane;35.0;-4.0;161.7
4-Methyl-4-ethylheptane;39.0;-4.0;157.8
2,2,3-Trimethylheptane;35.0;-3.0;156.2
2,2,5-Trimethylheptane;31.0;-1.0;149.1
2,3,4-Trimethylheptane;37.0;-4.0;159.7
2,3,5-Trimethylheptane;34.0;-3.0;157.2
2,4,5-Trimethylheptane;35.0;-3.0;156.2
3,3,4-Trimethylheptane;42.0;-5.0;160.3
3,3,5-Trimethylheptane;39.0;-3.0;152.3
3,4,4-Trimethylheptane;43.0;-5.0;159.4
3,4,5-Trimethylheptane;40.0;-5.0;162.3
2-Methyl-3-isopropylhexane;41.0;-4.0;155.8
3,3-Diethylhexane;44.0;-6.0;163.9
2,2-Dimethyl-3-ethylhexane;43.0;-4.0;153.9
2,3-Dimethyl-3-ethylhexane;46.0;-6.0;161.9
2,3-Dimethyl-4-ethylhexane;42.0;-5.0;160.3
2,4-Dimethyl-3-ethylhexane;43.0;-5.0;159.4
2,4-Dimethyl-4-ethylhexane;43.0;-4.0;153.9
2,5-Dimethyl-3-ethylhexane;38.0;-3.0;153.3
3,3-Dimethyl-4-ethylhexane;47.0;-6.0;160.9
3,4-Dimethyl-3-ethylhexane;48.0;-7.0;165.5
2,2,3,3-Tetramethylhexane;50.0;-6.0;158.0
2,2,3,5-Tetramethylhexane;42.0;-3.0;149.3
2,2,4,4-Tetramethylhexane;46.0;-2.0;139.9
2,3,3,4-Tetramethylhexane;50.0;-7.0;163.5
2,3,3,5-Tetramethvlhexane;45.0;-4.0;151.9
2,3,4,4-Tetramethylhexane;49.0;-6.0;159.0
2,3,4,5-Tetramethylhexane;44.0;-5.0;158.4
3,3,4,4-Tetramethylhexane;54.0;-8.0;165.1
2,4-Dimethyl-3-isopropylpentane;48.0;-5.0;154.5
2-Methyl-3,3-diethylpentane;51.0;-8.0;168.0
2,2,3-Trimethyl-3-ethylpentane;55.0;-8.0;164.1
2,2,4-Trimethyl-3-ethylpentane;50.0;-5.0;152.5
2,3,4-Trimethyl-3-ethylpentane;53.0;-8.0;166.1
2,2,3,3,4-Pentamethylpentane;57.0;-8.0;162.1
2,2,3,4,4-Pentamethylpentane;54.0;-5.0;148.6
